filed (Year filed),end (Year end),host (Hos tstate ISO3),home (Home state ISO3),home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),parties (Parties to arbitration),venue (Venue or rules adopted),caseno (Case no.),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),winner (Status/winner pre-annulment),awardinvst_text (Text on award to investor),"awardinvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),Annul_end (Year annulment ends),annulstatus (Status of annulment)
2008,2014,UKR,RUS,n.a.,n.a.,n.a.,n.a.,Tatneft v. Ukraine ,UNCITRAL,n.a.,Ukraine-Russia BIT,Oil and gas,OIL,US$2.4b,2400,yes,investor,"US$112m, plus interest",112,n.a.,n.a.,n.a.,n.a.
2008,2011,UKR,DEU,n.a.,n.a.,n.a.,n.a.,GEA Group Aktiengesellschaft v. Ukraine,ICSID,ARB/08/16,Germany-Ukraine BIT,Oil and gas,OIL,"Approximately US$30m, plus interest",30,yes,state,0,0,no,n.a.,n.a.,n.a.
2002,2007,UKR,LTU,n.a.,n.a.,n.a.,n.a.,Tokios Tokel_s v. Ukraine ,ICSID,ARB/02/18,Lithuania-Ukraine BIT,Publishing,SER,"Approximately US$65, plus interest",65,yes,state,0,0,no,n.a.,n.a.,n.a.
2008,2012,UKR,USA,n.a.,n.a.,n.a.,n.a.,"Bosh International, Inc. and B&P LTD Foreign Investments Enterprise v. Ukraine",ICSID,ARB/08/11,Ukraine-United States BIT,Tourism (hotel),SER,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2000,2003,UKR,USA,n.a.,n.a.,n.a.,n.a.,Generation Ukraine v. Ukraine,ICSID,ARB/00/9,Ukraine-United States BIT,Real estate (commercial),RE,US$7.1b plus US$2.3b in legal costs,9400,yes,state,0,0,no,n.a.,n.a.,n.a.
2009,2010,UKR,USA,n.a.,n.a.,n.a.,n.a.,"Global Trading Resource Corp. and Globex International, Inc. v. Ukraine ",ICSID,ARB/09/11,United States-Ukraine BIT,Agricultural enterprise (poultry),AGR,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2008,2012,UKR,DEU,n.a.,n.a.,n.a.,n.a.,Inmaris Perestroika Sailing Maritime Services GmbHet al v. Ukraine ,ICSID,ARB/08/8,Germany-Ukraine BIT,Maritime services,SER,unknown,unknown,yes,investor,Û3m; Respondent to pay some part of Claimant's legal costs and cost of arbitration,3.9,no,n.a.,n.a.,n.a.
2007,2010,UKR,AUT,n.a.,n.a.,n.a.,n.a.,Alpha Projektholding GmbH v. Ukraine ,ICSID,ARB/07/16,Austria-Ukraine BIT ,Tourism (hotel),SER,at least US$3.5m,3.5,yes,investor,"US$2.98m, plus US$5250782 in interest (each party to pay their legal costs, Respondent to pay cost of arbitration)",3,no,n.a.,n.a.,n.a.
2006,2011,UKR,USA,n.a.,n.a.,n.a.,n.a.,Joseph Charles Lemire v. Ukraine,ICSID,ARB/06/18,"Ukraine-United States BIT, Contract",Broadcasting enterprise (radio),TEL,Approximately US$8m,8,yes,investor,"US$8.7m, plus interest and legal fees",8.7,yes,2011,2013,upheld
2010,pending,URY,CHE,n.a.,n.a.,n.a.,n.a.,"Philip Morris Brand Sˆrl (Switzerland), Philip Morris Products S.A. (Switzerland) and Abal Hermanos S.A. (Uruguay) v. Oriental Republic of Uruguay (formerly FTR Holding SA, Philip Morris Products S.A. and Abal Hermanos S.A. v. Oriental Republic of Uruguay)",ICSID,ARB/10/7,Switzerland-Uruguay BIT,"Manufacturing (cigarettes, tobacco)",MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2002,2004,URY,USA,CHE,DEU,n.a.,n.a.,"Chemical Overseas Holdings, Inc. (U.S.), Credit Suisse First Boston (Switzerland), & Dresdner Bank Latinamerika (Germany) v. Republic of Uruguay",ICC,n.a.,Contract with host state,Banking,FIN,US$700m,700,yes,investor,"US$100m, plus fees",100,no,n.a.,n.a.,n.a.
2008,2009,UZB,CHE,n.a.,n.a.,n.a.,n.a.,Romak v. Uzbekistan ,PCA,AA280,Switzerland-Uzbekistan BIT,Import/Export,SER,US$10m,10,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2013,pending,UZB,KAZ,n.a.,n.a.,n.a.,n.a.,Vladislav Kim and others v. Uzbekistan,ICSID,ARB/13/6,Kazakhstan-Uzbekistan BIT,Manufacturing (cement),MFG,US$500m,500,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,UZB,NLD,n.a.,n.a.,n.a.,n.a.,"Spentex Netherlands, B.V. v. Republic of Uzbekistan",ICSID,ARB/13/26,"Netherlands-Uzbekistan BIT, Contract, Uzbekistan Investment Law (1998)",Textile enterprise,MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,UZB,TUK,n.a.,n.a.,n.a.,n.a.,Gunes Tekstil Konfeksiyon Sanayi ve Ticaret Limited Sirketi and others v. Republic of Uzbekistan,ICSID,ARB/13/19,"Turkey-Uzbekistan BIT, Uzbekistan Investment Law (1998)",unknown,unknown,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,UZB,TUR,n.a.,n.a.,n.a.,n.a.,Federal Elektrik Yatirim ve Ticaret A._. and others v. Uzbekistan,ICSID,ARB/13/9,"Turkey-Uzbekistan BIT, Uzbekistan Investment Law (1998), Energy Charter Treaty",Oil and gas,OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,UZB,GBR,n.a.,n.a.,n.a.,n.a.,Oxus Gold plc v. Republic of Uzbekistan ,UNCITRAL,n.a.,United Kingdom-Uzbekistan BIT,Mining,MIN,US$400m,400,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2006,2007,UZB,USA,n.a.,n.a.,n.a.,n.a.,Newmont USA Limited & Newmont (Uzbekistan) Limited v. Republic of Uzbekistan ,ICSID,ARB/06/20,Uzbekistan Investment Law (1998),Mining (gold),MIN,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2012,2014,UZB,RUS,n.a.,n.a.,n.a.,n.a.,Mobile TeleSystems OJSC v. Republic of Uzbekistan,ICSID AF,ARB(AF)/12/7,Uzbekistan Investment Law (1998),Telecommunications,TEL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2010,2013,UZB,ISR,n.a.,n.a.,n.a.,n.a.,Metal-Tech Ltd. v. Republic of Uzbekistan,ICSID,ARB/10/3,Israel-Uzbekistan BIT,Manufacturing (molybdenum products),MFG,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2012,pending,VEN,BRB,n.a.,n.a.,n.a.,n.a.,Transban Investments Corp. v. Bolivarian Republic of Venezuela,ICSID,ARB/12/24,Barbados-Venezuela BIT,Import/Export (vehicles),SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,VEN,BRB,n.a.,n.a.,n.a.,n.a.,Blue Bank International & Trust (Barbados) Ltd. v. Bolivarian Republic of Venezuela ,ICSID,ARB/12/20,Barbados-Venezuela BIT,Tourism,SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,pending,VEN,BRB,n.a.,n.a.,n.a.,n.a.,"Tidewater Investment SRL and Tidewater Caribe, C.A. v. Bolivarian Republic of Venezuela",ICSID,ARB/10/5,"Barbados-Venezuela BIT, Venezuela Investment Law (1999)",Maritime services (oil and gas),SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,VEN,CAN,n.a.,n.a.,n.a.,n.a.,Rusoro Mining Ltd. v. Bolivarian Republic of Venezuela  ,ICSID AF,ARB(AF)/12/5,Canada-Venezuela BIT,Mining (gold),MIN,US$3.03b,3030,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,VEN,CAN,n.a.,n.a.,n.a.,n.a.,Crystallex International Corporation v. Bolivarian Republic of Venezuela ,ICSID AF,ARB(AF)/11/2,Canada-Venezuela BIT,Mining,MIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,VEN,PRT,BELLUX,n.a.,n.a.,n.a.,Tenaris S.A. and Talta - Trading e Marketing Sociedade Unipessoal Lda. v. Bolivarian Republic of Venezuela ,ICSID,ARB/12/23,"Luxembourg-Venezuela BIT, Portugal-Venezuela BIT",Steel production,MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,VEN,NLD,n.a.,n.a.,n.a.,n.a.,Venoklim Holding B.V. v. Bolivarian Republic of Venezuela  ,ICSID,ARB/12/22,Netherlands-Venezuela BIT,Manufacturing (lubricants),MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,VEN,NLD,n.a.,n.a.,n.a.,n.a.,"F‡brica de Vidrios Los Andes, C.A. and Owens-Illinois de Venezuela, C.A. v. Bolivarian Republic of Venezuela",ICSID,ARB/12/21,Netherlands-Venezuela BIT,Manufacturing (bottling),MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,VEN,NLD,n.a.,n.a.,n.a.,n.a.,Longreef Investments A.V.V. v. Bolivarian Republic of Venezuela,ICSID,ARB/11/5,Netherlands-Venezuela BIT,Agricultural enterprise (coffee),AGR,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,pending,VEN,NLD,USA,n.a.,n.a.,n.a.,"ConocoPhillips Company, et al v. Bolivarian Republic of Venezuela",ICSID,ARB/07/30,"Netherlands-Venezuela BIT, Venezuela Investment Law (1999)",Oil and gas,OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,VEN,PRT,BELLUX,n.a.,n.a.,n.a.,Tenaris S.A. and Talta - Trading e Marketing Sociedade Unipessoal Lda. v. Bolivarian Republic of Venezuela,ICSID,ARB/11/26,"Portugal-Venezuela BIT, Belgium & Luxembourg-Venezuela BIT",Steel production,MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,VEN,ESP,n.a.,n.a.,n.a.,n.a.,"Valores Mundiales, S.L. and Consorcio Andino S.L. v. Venezuela",ICSID,ARB/13/11,Spain-Venezuela BIT,Manufacturing (tortillas and corn flour),MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,VEN,ESP,n.a.,n.a.,n.a.,n.a.,Valle Verde Sociedad Financiera S.L. v. Bolivarian Republic of Venezuela  ,ICSID,ARB/12/18,Spain-Venezuela BIT,Banking,FIN,At least US$100m,100,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,VEN,GBR,n.a.,n.a.,n.a.,n.a.,Anglo American PLC v. Bolivarian Republic of Venezuela,ICSID,ARB(AF)/14/1,UK-Venezuela BIT,Mining,MIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2006,pending,VEN,GBR,n.a.,n.a.,n.a.,n.a.,Vestey Group Ltd v. Bolivarian Republic of Venezuela ,ICSID,ARB/06/4,"United Kingdom-Venezuela BIT, Venezuela Investment Law (1999)",Agricultural enterprise,AGR,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,VEN,BRB,n.a.,n.a.,n.a.,n.a.,"Gambrinus, Corp. v. Bolivarian Republic of Venezuela",ICSID,ARB/11/31,Venezuela-Barbados BIT,Manufacturing (fertilizer),MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,VEN,FRA,n.a.,n.a.,n.a.,n.a.,Saint-Gobain Performance Plastics Europe v. Bolivarian Republic of Venezuela ,ICSID,ARB/12/13,Venezuela-France BIT,Manufacturing (ceramics),MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,VEN,NLD,n.a.,n.a.,n.a.,n.a.,OI European Group B.V. v. Bolivarian Republic of Venezuela,ICSID,ARB/11/25,Venezuela-Netherlands BIT,Manufacturing (glass),MFG,US$930m,930,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,VEN,NLD,PAN,n.a.,n.a.,n.a.,"Highbury International AVV, Compania Minera de Bajo Caron AVV, and Ramstein Trading Inc. v. Bolivarian Republic of Venezuela",ICSID,ARB/14/10,"Venezuela-Netherlands BIT, Venezuela Investment Law (1999)",Mining,MIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,VEN,CHE,n.a.,n.a.,n.a.,n.a.,Koch Minerals Sˆrl and Koch Nitrogen International Sˆrl v. Bolivarian Republic of Venezuela,ICSID,ARB/11/19,Venezuela-Switzerland BIT,Manufacturing (fertilizer),MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2011,pending,VEN,GBR,n.a.,n.a.,n.a.,n.a.,Hortensia Margarita Shortt v. Bolivarian Republic of Venezuela,ICSID,ARB/11/30,Venezuela-UK BIT,Maritime services (oil and gas),SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,2012,VEN,BELLUX,ESP,n.a.,n.a.,n.a.,Ternium S.A. and Consorcio Siderurgia Amazonia S.L. v. Bolivarian Republic of Venezuela ,ICSID,ARB/12/19,"Belgium & Luxembourg-Venezuela BIT, Spain-Venezuela BIT",Steel production,MFG,US$130m,130,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,2012,VEN,NLD,n.a.,n.a.,n.a.,n.a.,"The Williams Companies, International Holdings B.V., WilPro Energy Services (El Furrial) Limited and WilPro Energy Services (Pigap II) Limited v. Bolivarian Republic of Venezuela ",ICSID,ARB/11/10,Netherlands-Venezuela BIT,Oil and gas (compressed gas),OIL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,2012,VEN,NLD,n.a.,n.a.,n.a.,n.a.,CEMEX Caracas Investments BV & CEMEX Caracas II Investments BV v. Bolivarian Republic of Venezuela,ICSID,ARB/08/15,"Netherlands-Venezuela BIT, Venezuela Investment Law (1999)",Manufacturing (cement),MFG,US$1.2b,1200,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2008,VEN,NLD,ITA,n.a.,n.a.,n.a.,Eni Daci—n BV v. Bolivarian Republic of Venezuela,ICSID,ARB/07/4,"Netherlands-Venezuela BIT, Venezuela Investment Law (1999)",Oil and gas,OIL,Up to US$1b,1000,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2007,VEN,NLD,n.a.,n.a.,n.a.,n.a.,I&I Beheer BV v. Bolivarian Republic of Venezuela,ICSID,ARB/05/4,"Netherlands-Venezuela BIT, Venezuela Investment Law (1999)",Banking,FIN,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2000,2002,VEN,USA,n.a.,n.a.,n.a.,n.a.,"GRAD Associates, PA v. Bolivarian Republic of Venezuela  ",ICSID,ARB/00/3,other (as coded by ICSID),Construction (penitentiaries) ,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2010,2013,VEN,ESP,n.a.,n.a.,n.a.,n.a.,"Universal Compression International Holdings, S.L.U. v. Bolivarian Republic of Venezuela",ICSID,ARB/10/9,Spain-Venezuela BIT,Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2009,2010,VEN,NLD,CHE,n.a.,n.a.,n.a.,"Holcim Limited, Holderfin BV and Caricement BV v. Bolivarian Republic of Venezuela",ICSID,ARB/09/3,"Venezuela-Netherlands BIT, Venezuela-Switzerland BIT",Construction,RE,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,2014,VEN,CAN,n.a.,n.a.,n.a.,n.a.,Nova Scotia Power Incorporated v. Bolivarian Republic of Venezuela,ICSID AF,ARB(AF)/11/1,Canada-Venezuela BIT,Electric power concession (coal),UTL,US$180m,180,yes,state,0,0,no,n.a.,n.a.,n.a.
2004,2013,VEN,CAN,n.a.,n.a.,n.a.,n.a.,Vannessa Ventures Ltd v. Bolivarian Republic of Venezuela ,ICSID AF,ARB(AF)/04/6,Canada-Venezuela BIT,Mining (gold and copper),MIN,US$1.04m,1,yes,state,0,0,no,n.a.,n.a.,n.a.
2010,2013,VEN,TWN,n.a.,n.a.,n.a.,n.a.,Opic Karimun Corporation v. Bolivarian Republic of Venezuela,ICSID,ARB/10/14,Venezuela Investment Law (1999),Oil and gas (exploration),OIL,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2008,2011,VEN,USA,n.a.,n.a.,n.a.,n.a.,"Brandes Investment Partners, LP v. Bolivarian Republic of Venezuela ",ICSID,ARB/08/3,Venezuela Investment Law (1999),Telecommunications (television),TEL,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2000,2003,VEN,VEN,n.a.,n.a.,n.a.,n.a.,Autopista Concesionada de Venezuela CA v. Bolivarian Republic of Venezuela ,ICSID,ARB/00/5,Contract with host state,Highway construction project ,UTL,Several separate enumerations totaling approximately Venezuelan Bolivar 49.6b,292,yes,investor,"US$12.1m, plus interest (parties to pay their own legal costs)",12.1,no,n.a.,n.a.,n.a.
1996,1998,VEN,NLD,n.a.,n.a.,n.a.,n.a.,FEDAX NV v. Republic of Venezuela ,ICSID,ARB/96/3,Netherlands-Venezuela BIT,Finance (debt instruments),FIN,US$589950 plus  interest,0.6,yes,investor,"US$598,950 (as principal of the promissory notes) and US$161,254.14 (as regular and penal interest). Each party to pay their legal costs, Respondent to pay half of Claimant's cost of arbitration",0.8,no,n.a.,n.a.,n.a.
2009,2014,VEN,CAN,n.a.,n.a.,n.a.,n.a.,Gold Reserve Inc. v. Bolivarian Republic of Venezuela ,ICSID AF,ARB(AF)/09/1,Canada-Venezuela BIT,Mining,MIN,US$1.74b plus interest and costs,1735,yes,investor,"US$713m, plus interest and legal costs (US$5m)",713,no,n.a.,n.a.,n.a.
2011,2013,VEN,NLD,n.a.,n.a.,n.a.,n.a.,Highbury International AVV and Ramstein Trading Inc. v. Bolivarian Republic of Venezuela,ICSID,ARB/11/1,"Netherlands-Venezuela BIT, Venezuela Investment Law (1999)",Mining (gold and diamond),MIN,At least US$633m,633,yes,state,0,0,yes,2014,pending,pending
2007,2014,VEN,NLD,n.a.,n.a.,n.a.,n.a.,"Mobil Corporation, et al v. Bolivarian Republic of Venezuela ",ICSID,ARB/07/27,"Netherlands-Venezuela BIT, Venezuela Investment Law (1999)",Oil and gas,OIL,unknown,unknown,yes,investor,"US$1.62b plus interest and tax, Respondent to pay legal costs of proceedings and Claimant's legal costs",1620,yes,2014,pending,pending
2010,2014,VEN,CHE,CHL,n.a.,n.a.,n.a.,Flughafen ZŸrich A.G. and Gesti—n e Ingener’a IDC S.A. v. Bolivarian Republic of Venezuela,ICSID,ARB/10/19,"Switzerland-Venezuela BIT, Chile-Venezuela BIT",Airport,SER,unknown,unknown,yes,investor,"US$19.4m (half of which goes to each Claimant), plus interest on $19.4m (half of which goes to each Claimant); Respondent to pay US$525,000 for Claimant legal fees and US$1,874,000 for cost of arbitration",19.4,yes,2015,pending,pending
2011,2014,VNM,FRA,n.a.,n.a.,n.a.,n.a.,Dialasie SAS v. Vietnam,PCA,n.a.,France-Vietnam BIT,Health services (clinic),SER,unknown,unknown,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2010,2013,VNM,USA,n.a.,n.a.,n.a.,n.a.,Michael L. McKenzie v. Vietnam,UNCITRAL,n.a.,United States-Vietnam Trade Relations Treaty,Tourism (resort),SER,unknown,unknown,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2013,pending,VNM,FRA,n.a.,n.a.,n.a.,n.a.,RECOFI v. Vietnam,UNCITRAL,n.a.,France-Vietnam BIT,Food assistance program,AGR,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2005,2007,VNM,NLD,n.a.,n.a.,n.a.,n.a.,Trinh Vinh Binh & Binh Chau Joint Stock Company v. Socialist Republic of Viet Nam,UNCITRAL,n.a.,Netherlands-Vietnam BIT,Manufacturing (frozen food),MFG,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2014,pending,YEM,CHN,n.a.,n.a.,n.a.,n.a.,Beijing Urban Construction Group Co. Ltd. V. Republic of Yemen,ICSID,ARB/14/30,China-Yemen BIT,Airport,SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2009,2010,YEM,ARE,n.a.,n.a.,n.a.,n.a.,MTN (Dubai) Limited and MTN Yemen for Mobile Telephones v. Republic of Yemen,ICSID,ARB/09/7,"Yemen-UAE BIT, Yemen Investment Law (2002)",Telecommunications (mobile),TEL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2008,YEM,USA,n.a.,n.a.,n.a.,n.a.,Yemen Exploration and Production Company (U.S.) v. Republic of Yemen,ICC,n.a.,Contract with host state,Oil and gas,OIL,US$10.9b,10900,yes,state,0,0,no,n.a.,n.a.,n.a.
2005,2008,YEM,OMN,n.a.,n.a.,n.a.,n.a.,Desert Line Projects LLC v. Republic of Yemen ,ICSID,ARB/05/17,Oman-Yemen BIT,Highway construction project ,UTL,"Approximately US$250m, plus interest ",250,yes,investor,"Award enumerated in two parts: Yemeni Rial 3585446554 and US$1m, plus interest (Respondent to pay claimant US$400k for legal costs and Respondent to cover 70% of cost of arbitration)",18.4,no,n.a.,n.a.,n.a.
2005,2006,YUG,GRC,n.a.,n.a.,n.a.,n.a.,Mytilineos Holdings SA v. Serbia & Montenegro and Serbia,PCA,IIC 345,Greece-Yugoslavia BIT,Mining,MIN,Approximately US$25m,25,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2009,pending,YUG,LTU,n.a.,n.a.,n.a.,n.a.,"UAB ""ARVI"" ir ko & UAB ""SANITEX"" v. Republic of Serbia",ICSID,ARB/09/21,"Lithuania-Montenegro BIT, Serbia-Lithuania BIT",Manufacturing (fertilizer),MFG,Û50m,63.7,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,2010,ZAF,BELLUX,ITA,n.a.,n.a.,n.a.,"Piero Foresti, Laura De Carli, et al v. Republic of South Africa ",ICSID,ARB(AF)/07/1,Belgium & Luxembourg-South Africa BIT,Mining (quarrying),MIN,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2010,2012,ZAR,VGB,n.a.,n.a.,n.a.,n.a.,"International Quantum Resources Limited, Frontier SPRL and Compagnie Minière de Sakania SPRL v. Democratic Republic of the Congo",ICSID,ARB/10/21,Congo (Democratic Republic of) Domestic Investment Law,Mining,MIN,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2007,ZAR,USA,n.a.,n.a.,n.a.,n.a.,"Miminco LLC, et al v. Democratic Republic of the Congo ",ICSID,ARB/03/14,Congo (Democratic Republic of)-United States BIT,Mining (diamond),MIN,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2000,2004,ZAR,GBR,n.a.,n.a.,n.a.,n.a.,Ridgepointe Overseas Developments Ltd. v. Democratic Republic of the Congo and G_n_rale des Carrières et des Mines ,ICSID,ARB/00/8,Contract with host state,Mining (cobalt and copper),MIN,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1998,2000,ZAR,CAN,n.a.,n.a.,n.a.,n.a.,"Banro American Resources, Inc. and Soci_t_ Aurifère du Kivu et du Maniema S.A.R.L. v. Democratic Republic of the Congo",ICSID,ARB/98/7,Congo (Democratic Republic of) Mining Law,Mining (gold),MIN,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2005,2008,ZAR,USA,n.a.,n.a.,n.a.,n.a.,"African Holding Company of America, Inc. & Soci_t_ Africaine de Construction au Congo SARL v. Democratic Republic of the Congo",ICSID,ARB/05/21,Congo (Democratic Republic of)-United States BIT,unknown,MFG,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2004,2009,ZAR,SRB,n.a.,n.a.,n.a.,n.a.,"Russell Resources International Limited, et al v. Democratic Republic of the Congo ",ICSID,ARB/04/11,Contract with host state,Mining,MIN,unknown,unknown,yes,investor,unknown,unknown,no,n.a.,n.a.,n.a.
1993,1997,ZAR,USA,n.a.,n.a.,n.a.,n.a.,American Manufacturing and Trading v. Zaire (DRC),ICSID,ARB/93/1,Congo (Democratic Republic of)-United States BIT,Manufacturing (batteries) and Import/Export (foodstuffs and consumer goods),MFG,US$14.3m plus interest,14.3,yes,investor,"US$9m, plus interest (at 7.5% per annum in default of payment). Each party to pay their legal costs and split the costs of arbitration.",9,no,n.a.,n.a.,n.a.
2010,2014,ZAR,LBN,n.a.,n.a.,n.a.,n.a.,Antoine Abou Lahoud and Leila Bounafeh-Abou Lahoud v. Democratic Republic of the Congo,ICSID,ARB/10/4,Congo (Democratic Republic of) Domestic Investment Law,Import/Export,SER,"Claimant enumerates three requests: US$763978, plus US$841,022, plus US$17645000",19.4,yes,investor,"US$1.73m with interest and tax, legal costs not specified",1.7,yes,2014,pending,pending
1999,2004,ZAR,USA,n.a.,n.a.,n.a.,n.a.,Patrick Mitchell v. Democratic Republic of the Congo ,ICSID,ARB/99/7,Congo (Democratic Republic of)-United States BIT,Legal services,SER,unknown,unknown,yes,investor,"US$775k, plus interest and legal costs",0.8,yes,2004,2006,overturned
2010,pending,ZWE,DEU,n.a.,n.a.,n.a.,n.a.,Bernhard von Pezold and others v. Republic of Zimbabwe,ICSID,ARB/10/15,"Germany-Zimbabwe BIT, Switzerland-Zimbabwe BIT",Agricultural enterprise,AGR,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2010,pending,ZWE,CHE,n.a.,n.a.,n.a.,n.a.,"Border Timbers Limited, Border Timbers International (Private) Limited, and Hangani Development Co. (Private) Limited v. Republic of Zimbabwe",ICSID,ARB/10/25,Switzerland-Zimbabwe BIT,Agricultural enterprise (forestry),AGR,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2005,2009,ZWE,NLD,n.a.,n.a.,n.a.,n.a.,"Bernadus Henricus Funnekotter, et al v. Republic of Zimbabwe",ICSID,ARB/05/6,Netherlands-Zimbabwe BIT,Agricultural enterprise,AGR,unknown,unknown,yes,investor,Û8.2m; Respondent to pay the cost of arbitration and each party to pay their own legal costs,11.5,no,n.a.,n.a.,n.a.
2000,2003,USA,CAN,n.a.,n.a.,n.a.,n.a.,ADF Group Inc. v. United States,ICSID AF,ARB(AF)/00/1,NAFTA,Highway construction project ,UTL,Not less than US$90m,90,yes,state,0,0,no,n.a.,n.a.,n.a.
2012,2014,USA,CAN,n.a.,n.a.,n.a.,n.a.,Apotex Holdings Inc. and Apotex Inc. v. United States of America,ICSID AF,ARB(AF)/12/1,NAFTA,Pharmaceuticals,MFG,At least $520 million,520,yes,state,0,0,no,n.a.,n.a.,n.a.
